example_name,config_index,num_reads,num_sweeps,seed,run_time_s,best_energy_run,success_prob,tts_target_conf,is_solution_best
hypergraph_not_selfdual_2025_09_29_18_45_21_5_0,0,10000,5,0,0.005193708930164576,,0.3984,0.047067450315952296,
hypergraph_not_selfdual_2025_09_29_18_45_21_5_0,1,10000,20,0,0.010693958029150963,,0.6066,0.052788079031464166,
hypergraph_not_selfdual_2025_09_29_18_45_21_5_0,2,10000,100,0,0.04347291705198586,,0.6842,0.17368745541576994,
hypergraph_not_selfdual_2025_09_29_18_45_21_5_0,3,10000,200,0,0.08424616593401879,,0.7022,0.3202817728932583,
hypergraph_not_selfdual_2025_09_29_18_45_23_6_0,0,10000,5,0,0.008793541928753257,,0.0513,0.7689653888108151,
hypergraph_not_selfdual_2025_09_29_18_45_23_6_0,1,10000,20,0,0.022351291961967945,,0.0945,1.0369051622042107,
hypergraph_not_selfdual_2025_09_29_18_45_23_6_0,2,10000,100,0,0.09571912500541657,,0.1544,2.6283817184014104,
hypergraph_not_selfdual_2025_09_29_18_45_23_6_0,3,10000,200,0,0.18665195803623646,,0.1745,4.48235851131888,
hypergraph_not_selfdual_2025_09_29_18_45_25_7_0,0,10000,5,0,0.01080625003669411,,0.0728,0.6583842124055818,
hypergraph_not_selfdual_2025_09_29_18_45_25_7_0,1,10000,20,0,0.028365000034682453,,0.1494,0.8072615513252196,
hypergraph_not_selfdual_2025_09_29_18_45_25_7_0,2,10000,100,0,0.11722995899617672,,0.2002,2.416649152873665,
hypergraph_not_selfdual_2025_09_29_18_45_25_7_0,3,10000,200,0,0.22888787498231977,,0.2182,4.282106564329745,
hypergraph_not_selfdual_2025_09_29_18_45_26_7_1,0,10000,5,0,0.011962958029471338,,0.058,0.9220326960883769,
hypergraph_not_selfdual_2025_09_29_18_45_26_7_1,1,10000,20,0,0.029768959037028253,,0.0294,4.594076888801962,
hypergraph_not_selfdual_2025_09_29_18_45_26_7_1,2,10000,100,0,0.11993083299603313,,0.0294,18.508254434980923,
hypergraph_not_selfdual_2025_09_29_18_45_26_7_1,3,10000,200,0,0.23768162506166846,,0.037,29.032098812214116,
hypergraph_not_selfdual_2025_09_29_18_45_27_8_0,0,10000,5,0,0.021570791956037283,,0.0258,3.8003928697260467,
