,Example name,#reads,Annealing time $(\mu s)$,Annealing sampling time $(s)$,Success prob,TTS
49,hypergraph_not_selfdual_2025_09_29_18_47_00_9_1,10000,5,1.3329,0.0005,1.2273393310314353
50,hypergraph_not_selfdual_2025_09_29_18_45_21_5_0,10000,5,1.08925,0.1846,0.0024579909521050334
51,hypergraph_not_selfdual_2025_09_29_18_46_23_6_0,10000,5,1.1073,0.0359,0.013947673240942747
52,hypergraph_not_selfdual_2025_09_29_18_46_00_9_1,10000,100,2.2426,0.0017,0.606986691076507
53,hypergraph_not_selfdual_2025_09_29_18_45_27_8_0,10000,5,1.2127,0.0026,0.21451640913689135
54,hypergraph_not_selfdual_2025_09_29_18_46_43_6_0,10000,200,3.05655,0.0165,0.0846029362126502
55,hypergraph_not_selfdual_2025_09_29_18_46_07_8_0,10000,20,1.37785,0.0029,0.21848374822166527
56,hypergraph_not_selfdual_2025_09_29_18_46_48_8_1,10000,200,3.0841,0.0023,0.6168028641803955
57,hypergraph_not_selfdual_2025_09_29_18_46_51_5_0,10000,5,1.0565,0.2054,0.0021161437583898175
58,hypergraph_not_selfdual_2025_09_29_18_45_36_7_1,10000,200,3.1032,0.0094,0.15131374260207336
59,hypergraph_not_selfdual_2025_09_29_18_45_45_7_0,10000,100,2.11035,0.0126,0.07664416529947948
60,hypergraph_not_selfdual_2025_09_29_18_46_46_7_1,10000,5,1.1907,0.0049,0.1116312422576873
61,hypergraph_not_selfdual_2025_09_29_18_46_16_7_1,10000,200,3.108,0.0059,0.24187464970330516
62,hypergraph_not_selfdual_2025_09_29_18_46_37_8_0,10000,200,3.1374,0.0043,0.3352831365148366
63,hypergraph_not_selfdual_2025_09_29_18_46_57_8_0,10000,5,1.02405,0.9999,5.120249999999937e-05
64,hypergraph_not_selfdual_2025_09_29_18_45_49_9_0,10000,100,2.25365,0.0016,0.6481335512737131
65,hypergraph_not_selfdual_2025_09_29_18_45_41_5_0,10000,100,2.0478,0.1991,0.004247591289961127
66,hypergraph_not_selfdual_2025_09_29_18_45_53_6_0,10000,5,1.11205,0.0233,0.021722246085896558
67,hypergraph_not_selfdual_2025_09_29_18_45_39_9_0,10000,5,1.22895,0.0003,1.8862249763442935
