,Example name,#reads,Annealing time $(\mu s)$,Annealing sampling time $(s)$,Success prob,TTS
479,hypergraph_not_selfdual_2026_02_26_08_12_22_12_1,15000,200,6.570660000000001,0.0,inf
480,hypergraph_not_selfdual_2026_02_26_08_12_22_12_1,15000,100,5.01556,6.666666666666667e-05,23.096737452569453
481,hypergraph_not_selfdual_2026_02_26_08_12_55_10_2,15000,20,2.53008,0.0008,0.9705656485759538
482,hypergraph_not_selfdual_2026_02_26_08_12_25_10_2,15000,5,2.1406199999999997,0.0054,0.12137381483328837
483,hypergraph_not_selfdual_2026_02_26_08_12_02_11_1,15000,5,3.14856,0.0002,4.8327348756650546
484,hypergraph_not_selfdual_2026_02_26_08_12_21_11_2,15000,20,3.18016,0.0011333333333333334,0.8609927950585937
485,hypergraph_not_selfdual_2026_02_26_08_12_50_11_1,15000,5,2.9827,0.0008,1.1441955037024512
486,hypergraph_not_selfdual_2026_02_26_08_13_20_10_2,15000,100,4.04572,0.0002,6.209788646611666
487,hypergraph_not_selfdual_2026_02_26_08_12_16_12_1,15000,5,3.6119800000000004,0.001,1.1083642886825997
488,hypergraph_not_selfdual_2026_02_26_08_12_24_10_1,15000,200,5.08992,0.006466666666666667,0.24086677030236167
489,hypergraph_not_selfdual_2026_02_26_08_12_52_12_1,15000,5,3.5359599999999998,0.0016666666666666668,0.6508049620140586
490,hypergraph_not_selfdual_2026_02_26_08_12_44_11_1,15000,20,1.5001,0.9973333333333333,7.770431379021275e-05
491,hypergraph_not_selfdual_2026_02_26_08_12_50_11_1,15000,200,5.7008,6.666666666666667e-05,26.252279081420212
492,hypergraph_not_selfdual_2026_02_26_08_13_06_10_1,15000,100,3.79106,0.0012666666666666666,0.918285111286449
493,hypergraph_not_selfdual_2026_02_26_08_13_08_11_1,15000,5,3.01552,0.0007333333333333333,1.2619900257260286
494,hypergraph_not_selfdual_2026_02_26_08_12_18_10_1,15000,20,2.72356,0.00046666666666666666,1.7913615015289803
